,date,price,month
174,2019-10-27,125.35137745310469,October
175,2019-10-28,125.34914876493531,October
176,2019-10-29,125.64993499659506,October
177,2019-10-30,125.83690955240513,October
178,2019-10-31,125.9156565343899,October
179,2019-11-01,128.49504116882312,November
180,2019-11-02,128.8186343094162,November
181,2019-11-03,124.92504178790318,November
182,2019-11-04,125.21389215625581,November
183,2019-11-05,125.31445551909862,November
184,2019-11-06,125.30197486535009,November
185,2019-11-07,125.15173651953198,November
186,2019-11-08,128.21677706927505,November
187,2019-11-09,128.61578654119978,November
188,2019-11-10,124.84470996099796,November
189,2019-11-11,124.94851730328732,November
190,2019-11-12,125.1723395034978,November
191,2019-11-13,125.26401287686498,November
192,2019-11-14,125.27785206646361,November
193,2019-11-15,128.47309511428077,November
194,2019-11-16,128.89208330237972,November
195,2019-11-17,125.02565435950771,November
196,2019-11-18,125.09224178490949,November
197,2019-11-19,125.32199192729614,November
198,2019-11-20,125.45145234380804,November
199,2019-11-21,125.476995270287,November
200,2019-11-22,128.7551568729416,November
201,2019-11-23,129.22353465567195,November
202,2019-11-24,125.32824455835376,November
203,2019-11-25,125.58200232771216,November
204,2019-11-26,125.77010128024169,November
205,2019-11-27,125.89509199415596,November
206,2019-11-28,125.84390708961692,November
207,2019-11-29,129.00037144342917,November
208,2019-11-30,129.36114206473022,November
209,2019-12-01,125.64642299977713,December
210,2019-12-02,125.82241289651586,December
211,2019-12-03,126.00381348587277,December
212,2019-12-04,126.12297253794914,December
213,2019-12-05,126.255862615457,December
214,2019-12-06,129.43263254339698,December
215,2019-12-07,129.89158804447416,December
216,2019-12-08,125.83322190030458,December
217,2019-12-09,125.88662308397097,December
218,2019-12-10,126.08580343213728,December
219,2019-12-11,126.17056682267291,December
220,2019-12-12,126.10536611940668,December
221,2019-12-13,129.39374241636332,December
222,2019-12-14,129.85835623901147,December
223,2019-12-15,126.19056286060966,December
224,2019-12-16,126.44855508506055,December
225,2019-12-17,126.6685238838125,December
226,2019-12-18,126.80105489933884,December
227,2019-12-19,127.06624074486788,December
228,2019-12-20,130.88081618502835,December
229,2019-12-21,131.58986454696284,December
230,2019-12-22,128.6275784364708,December
231,2019-12-23,130.13234529381174,December
232,2019-12-24,130.92264071515243,December
233,2019-12-25,131.31978802961643,December
234,2019-12-26,131.3391278508283,December
235,2019-12-27,135.28351038803456,December
236,2019-12-28,135.89629299457692,December
237,2019-12-29,133.22270509868014,December
238,2019-12-30,135.62608028130649,December
239,2019-12-31,139.14206473020826,December
240,2020-01-01,133.26483916499518,January
241,2020-01-02,129.28596191466707,January
242,2020-01-03,131.13742168734368,January
243,2020-01-04,130.56412351732163,January
244,2020-01-05,126.7634772057549,January
245,2020-01-06,125.7803655003343,January
246,2020-01-07,125.88674689844737,January
247,2020-01-08,125.8322066215982,January
248,2020-01-09,125.74962236584702,January
249,2020-01-10,128.63368249015676,January
250,2020-01-11,128.85799717702994,January
251,2020-01-12,125.53283559913825,January
252,2020-01-13,125.36213258054131,January
253,2020-01-14,125.44313201099473,January
254,2020-01-15,125.46219944035856,January
255,2020-01-16,125.59341802243519,January
256,2020-01-17,128.49596364806973,January
257,2020-01-18,128.68364163137954,January
258,2020-01-19,125.32283386573557,January
259,2020-01-20,125.31931753460614,January
260,2020-01-21,125.49855137062626,January
261,2020-01-22,125.54468464452864,January
262,2020-01-23,125.5628977540054,January
263,2020-01-24,128.49198920337767,January
264,2020-01-25,128.70382339103088,January
265,2020-01-26,125.35944580640368,January
266,2020-01-27,125.38433251615778,January
267,2020-01-28,125.49405690513335,January
268,2020-01-29,125.53621573434366,January
269,2020-01-30,125.54943912042197,January
270,2020-01-31,128.5821756679791,January
271,2020-02-01,128.91313176336578,February
272,2020-02-02,125.86450981848797,February
273,2020-02-03,125.93586410123072,February
274,2020-02-04,125.96092415125176,February
275,2020-02-05,126.00085431988708,February
276,2020-02-06,125.93753559666196,February
277,2020-02-07,128.89028799247208,February
278,2020-02-08,129.10789193472502,February
279,2020-02-09,125.7340341232697,February
280,2020-02-10,125.70331575167769,February
281,2020-02-11,125.84245846024317,February
282,2020-02-12,125.89780353118887,February
283,2020-02-13,125.88243815466905,February
284,2020-02-14,128.9120917217641,February
285,2020-02-15,129.23420746353665,February
286,2020-02-16,125.94163385583042,February
287,2020-02-17,125.94252532006043,February
288,2020-02-18,126.09458187851324,February
289,2020-02-19,126.16503231557834,February
290,2020-02-20,126.11671990689152,February
291,2020-02-21,129.06759032266052,February
292,2020-02-22,129.24972141742813,February
293,2020-02-23,126.03567095064756,February
294,2020-02-24,125.99137013099572,February
295,2020-02-25,126.14347621523909,February
296,2020-02-26,126.28599905900998,February
297,2020-02-27,126.3264740113414,February
298,2020-02-28,129.04891909962112,February
299,2020-02-29,129.34442711041774,February
300,2020-03-01,126.43711462744224,March
301,2020-03-02,126.2010251838645,March
302,2020-03-03,126.4072134313944,March
303,2020-03-04,126.47437040338757,March
304,2020-03-05,126.45292573607706,March
305,2020-03-06,129.46145655350023,March
306,2020-03-07,129.74941188123717,March
307,2020-03-08,126.2501300052002,March
308,2020-03-09,126.56246440333804,March
309,2020-03-10,126.46811777232995,March
310,2020-03-11,126.52212564693063,March
311,2020-03-12,126.52374761657133,March
312,2020-03-13,129.52569150385062,March
313,2020-03-14,129.77293663175098,March
314,2020-03-15,127.20326622588713,March
315,2020-03-16,126.3817571750489,March
316,2020-03-17,126.54576183047323,March
317,2020-03-18,126.60999678082361,March
318,2020-03-19,126.59543619840032,March
319,2020-03-20,129.69636975955228,March
320,2020-03-21,129.94034618527598,March
321,2020-03-22,126.50697075502067,March
322,2020-03-23,126.5960057449917,March
323,2020-03-24,127.94760171359235,March
324,2020-03-25,128.02193992521606,March
325,2020-03-26,128.05487457593543,March
326,2020-03-27,131.12279919768218,March
327,2020-03-28,131.37569026570586,March
328,2020-03-29,126.71629150880321,March
329,2020-03-30,126.656575786841,March
330,2020-03-31,126.7290320184236,March
331,2020-04-01,127.03840725057573,April
332,2020-04-02,127.11413218433499,April
333,2020-04-03,130.0879454225788,April
334,2020-04-04,130.23503702052844,April
335,2020-04-05,126.82511205210113,April
336,2020-04-06,126.89322239556249,April
337,2020-04-07,127.05185350271154,April
338,2020-04-08,127.101069757076,April
339,2020-04-09,127.16955154396652,April
340,2020-04-10,130.12655077631678,April
341,2020-04-11,130.24440977639105,April
342,2020-04-12,127.15496619864794,April
343,2020-04-13,126.93652031795557,April
